"amilious/localization/editor/copy_tooltip", ""
"amilious/localization/editor/copy_key_tooltip", ""
"amilious/localization/editor/edit_tooltip", ""
"amilious/editor/page_control/page", ""
"amilious/editor/page_control/per_page", ""
"amilious/editor/page_control/of", ""
"amilious/localization/editor/menu_clear_count", ""
"amilious/localization/editor/clear_all_message", ""
"amilious/localization/editor/clear_all_ok", ""
"amilious/localization/editor/clear_all_cancel", ""
"amilious/localization/editor/clear_all_title", ""
"amilious/localization/editor/menu_add_language", ""
