"test1", ""
"test1", ""
"amilious/localization/editor/delete_title", "키 삭제: {0}"
"amilious/localization/editor/copy_tooltip", "클립 보드에 복사"
"amilious/localization/editor/description", "설명:"
"amilious/localization/editor/translation", "번역:"
"amilious/localization/editor/add_fail", "<color=red><i><b>이 키는 이미 사용 중입니다.</b></i></color>"
"amilious/localization/editor/add_placeholder", "새 키 추가 ..."
"amilious/localization/editor/search_placeholder", "키 또는 값 검색..."
"amilious/localization/editor/search_tooltip", "현지화 키 찾기"
"amilious/localization/editor/delete_tooltip", "키 삭제"
"amilious/localization/editor/add_tooltip", "새 현지화 키 추가"
"amilious/localization/editor/delete_message", "이렇게 하면 모든 언어의 현지화 데이터에서 키가 제거됩니다. 계속하시겠습니까?"
"amilious/localization/editor/delete_ok", "그래 확실해!"
"amilious/localization/editor/delete_cancel", "취소"
"amilious/localization/editor/display_language", "표시 언어:"
"amilious/localization/editor/location", "위치:"
"amilious/localization/editor/copy", "복사"
"amilious/localization/editor/menu_copy", "클립 보드에 복사"
"amilious/localization/editor/menu_edit", "값 편집"
"amilious/localization/editor/menu_delete", "키 제거"
"amilious/localization/editor/no_description", "<color=red><b><i>설명 없음</i></b></color>"
"amilious/localization/editor/no_translation", "<color=red><b><i>\r{0} 번역 없음</i></b></color>"
"amilious/localization/editor/menu_copy_group", "클립보드에 그룹 복사"
"amilious/localization/editor/menu_search_group", "\r그룹 키 검색"
"amilious/localization/editor/add_button", "\r새 현지화 키 추가"
"newE", ""
"amilious/localization/editor/no_results", "\r일치하는 항목이 없습니다!"
"amilious/localization/editor/menu_copy_key_name", "클립보드에 키 이름 복사"
"amilious/localization/editor/find_tooltip", "찾다"
"amilious/localization/editor/find_button", "찾다"
"amilious/localization/editor/save_button", ""
"amilious/localization/editor/key", ""
"amilious/localization/editor/language_menu", ""
"t", ""
"amilious/localization/editor/menu_reload", ""
"amilious/localization/editor/language_name", ""
"amilious/localization/editor/add_language", ""
"amilious/localization/editor/cancel", ""
"amilious/localization/editor/add_message", ""
"amilious/localization/editor/language_exists", ""
"amilious/localization/editor/copy_key_tooltip", ""
"amilious/localization/editor/edit_tooltip", ""
"amilious/editor/page_control/page", ""
"amilious/editor/page_control/per_page", ""
"amilious/editor/page_control/of", ""
"amilious/localization/editor/menu_clear_count", ""
"amilious/localization/editor/clear_all_message", ""
"amilious/localization/editor/clear_all_ok", ""
"amilious/localization/editor/clear_all_cancel", ""
"amilious/localization/editor/clear_all_title", ""
"amilious/localization/editor/menu_add_language", ""
